Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Monday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,13,Afternoon,0,Medium,Low
Monday,18-30,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Reversing,Passenger,Female,Under 18,3,Driving carelessly,Slight Injury,13,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,18-30,3,Changing lane to the right,Slight Injury,23,Night,0,Medium,Low
Friday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Under 18,3,Overturning,Slight Injury,23,Night,0,Medium,Low
Sunday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,Unkown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Other,na,na,na,na,Changing lane to the right,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Company,Unknown,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Entering a junction,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Turnover,Passenger,Female,18-30,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Overturning,Slight Injury,10,Morning,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Unkown, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,10,Morning,0,Medium,Low
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the right,Slight Injury,16,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Above 10yr,Unkown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving at high speed,Slight Injury,16,Afternoon,0,Medium,Low
Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Organization,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the left,Slight Injury,0,Night,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,0,Night,0,Medium,Low
Sunday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,11,Morning,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,11,Morning,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Getting off,Driver or rider,Male,18-30,3,No priority to pedestrian,Slight Injury,17,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Getting off,na,na,na,na,Moving Backward,Slight Injury,17,Evening,0,Medium,Low
Tuesday,31-50,Male,Above high school,Owner,1-2yr,Automobile,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Getting off,Driver or rider,Female,31-50,3,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,Unkown,  Market areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,17,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Above 10yr,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Female,31-50,3,Drunk driving,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Passenger,Male,31-50,3,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,High school,Owner,Below 1yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2.0,Waiting to go,Passenger,Female,Over 51,3,Driving carelessly,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Governmental,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Passenger,Female,31-50,3,Driving to the left,Slight Injury,18,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1.0,Other,Passenger,Male,Over 51,3,Changing lane to the right,Slight Injury,11,Morning,0,Medium,Low
Friday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Going straight,Pedestrian,Female,Over 51,2,Changing lane to the right,Serious Injury,23,Night,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,18-30,3,Driving carelessly,Serious Injury,23,Night,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,12,Afternoon,0,Medium,Low
Sunday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Under 18,3,No priority to vehicle,Slight Injury,12,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Overtaking,Driver or rider,Male,31-50,2,Driving carelessly,Slight Injury,21,Night,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Organization,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,21,Night,0,Medium,Low
Thursday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,Under 18,3,Driving carelessly,Slight Injury,14,Afternoon,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Over 51,3,Driving under the influence of drugs,Slight Injury,14,Afternoon,0,Medium,Low
Friday,Unknown,Male,High school,Employee,2-5yr,Automobile,Company,1-2yr,Unkown,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Turnover,Driver or rider,Female,Over 51,3,No distancing,Slight Injury,7,Morning,0,Medium,Low
Friday,31-50,Male,High school,Owner,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Under 18,3,Changing lane to the left,Slight Injury,7,Morning,0,Medium,Low
Thursday,18-30,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,Unkown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to vehicle,Slight Injury,23,Night,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Getting off,na,na,na,na,Moving Backward,Slight Injury,9,Morning,0,Medium,Low
Saturday,Over 51,Male,High school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Moving Backward,Driver or rider,Male,18-30,2,Moving Backward,Slight Injury,9,Morning,0,Medium,Low
Sunday,31-50,Male,Junior high school,Other,No Licence,Automobile,Owner,Unknown,Unkown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Getting off,Driver or rider,Male,31-50,1,No distancing,Slight Injury,11,Morning,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3.5,Overtaking,na,na,na,na,Changing lane to the right,Slight Injury,10,Morning,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,10,Morning,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Driver or rider,Male,18-30,3,Moving Backward,Slight Injury,10,Morning,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,Driving carelessly,Slight Injury,10,Morning,0,Medium,Medium
Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.5,Reversing,Driver or rider,Male,Over 51,3,Driving under the influence of drugs,Slight Injury,10,Morning,0,Medium,Medium
Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Getting off,Driver or rider,Male,18-30,3,No distancing,Slight Injury,19,Evening,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,19,Evening,0,Medium,Low
Sunday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving to the left,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Reversing,Driver or rider,Female,Over 51,3,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Friday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Stopping,Driver or rider,Male,31-50,3,No priority to vehicle,Slight Injury,12,Afternoon,1,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Overtaking,Driver or rider,Male,18-30,3,No distancing,Slight Injury,18,Evening,0,Medium,Low
